data,reparto_id,shift_code,coverage_code
2024-10-05,MED,G,S
2024-10-05,MEDG,N,S
2024-10-05,REP0,G,S
2024-10-05,REP0,M,S
2024-10-05,REP0,N,S
2024-10-05,REP0,P,S
2024-10-05,REP2,M,S
2024-10-05,REP2,N,S
2024-10-05,REP2,P,S
2024-10-05,REP3,M,S
2024-10-05,REP3,N,S
2024-10-05,REP3,P,S
2024-10-05,REP5,M,S
2024-10-05,REP5,N,S
2024-10-05,REP5,P,S
2024-10-05,RIA,G,S
2024-10-05,RIA2,G,S
2024-10-06,ADT,G,d
2024-10-06,MED,G,S
2024-10-06,MEDG,N,S
2024-10-06,REP0,G,S
2024-10-06,REP0,M,S
2024-10-06,REP0,N,S
2024-10-06,REP0,P,S
2024-10-06,REP2,M,S
2024-10-06,REP2,N,S
2024-10-06,REP2,P,S
2024-10-06,REP3,M,S
2024-10-06,REP3,N,S
2024-10-06,REP3,P,S
2024-10-06,REP5,M,S
2024-10-06,REP5,N,S
2024-10-06,REP5,P,S
2024-10-06,RIA,G,S
2024-10-06,RIA2,G,S
2024-10-07,ADT,G,p
2024-10-07,MED,G,S
2024-10-07,MEDG,N,S
2024-10-07,REP0,G,S
2024-10-07,REP0,M,S
2024-10-07,REP0,N,S
2024-10-07,REP0,P,S
2024-10-07,REP2,M,S
2024-10-07,REP2,N,S
2024-10-07,REP2,P,S
2024-10-07,REP3,M,S
2024-10-07,REP3,N,S
2024-10-07,REP3,P,S
2024-10-07,REP5,M,S
2024-10-07,REP5,N,S
2024-10-07,REP5,P,S
2024-10-07,RIA,G,S
2024-10-07,RIA2,G,S
2024-10-08,ADT,G,p
2024-10-08,MED,G,S
2024-10-08,MEDG,N,S
2024-10-08,REP0,G,S
2024-10-08,REP0,M,S
2024-10-08,REP0,N,S
2024-10-08,REP0,P,S
2024-10-08,REP2,M,S
2024-10-08,REP2,N,S
2024-10-08,REP2,P,S
2024-10-08,REP3,M,S
2024-10-08,REP3,N,S
2024-10-08,REP3,P,S
2024-10-08,REP5,M,S
2024-10-08,REP5,N,S
2024-10-08,REP5,P,S
2024-10-08,RIA,G,S
2024-10-08,RIA2,G,S
2024-10-09,ADT,G,p
2024-10-09,MED,G,S
2024-10-09,MEDG,N,S
2024-10-09,REP0,G,S
2024-10-09,REP0,M,S
2024-10-09,REP0,N,S
2024-10-09,REP0,P,S
2024-10-09,REP2,M,S
2024-10-09,REP2,N,S
2024-10-09,REP2,P,S
2024-10-09,REP3,M,S
2024-10-09,REP3,N,S
2024-10-09,REP3,P,S
2024-10-09,REP5,M,S
2024-10-09,REP5,N,S
2024-10-09,REP5,P,S
2024-10-09,RIA,G,S
2024-10-09,RIA2,G,S
2024-10-10,ADT,G,p
2024-10-10,MED,G,S
2024-10-10,MEDG,N,S
2024-10-10,REP0,G,S
2024-10-10,REP0,M,S
2024-10-10,REP0,N,S
2024-10-10,REP0,P,S
2024-10-10,REP2,M,S
2024-10-10,REP2,N,S
2024-10-10,REP2,P,S
2024-10-10,REP3,M,S
2024-10-10,REP3,N,S
2024-10-10,REP3,P,S
2024-10-10,REP5,M,S
2024-10-10,REP5,N,S
2024-10-10,REP5,P,S
2024-10-10,RIA,G,S
2024-10-10,RIA2,G,S
2024-10-11,ADT,G,p
2024-10-11,MED,G,S
2024-10-11,MEDG,N,S
2024-10-11,REP0,G,S
2024-10-11,REP0,M,S
2024-10-11,REP0,N,S
2024-10-11,REP0,P,S
2024-10-11,REP2,M,S
2024-10-11,REP2,N,S
2024-10-11,REP2,P,S
2024-10-11,REP3,M,S
2024-10-11,REP3,N,S
2024-10-11,REP3,P,S
2024-10-11,REP5,M,S
2024-10-11,REP5,N,S
2024-10-11,REP5,P,S
2024-10-11,RIA,G,S
2024-10-11,RIA2,G,S
2024-10-12,ADT,G,s
2024-10-12,MED,G,S
2024-10-12,MEDG,N,S
2024-10-12,REP0,G,S
2024-10-12,REP0,M,S
2024-10-12,REP0,N,S
2024-10-12,REP0,P,S
2024-10-12,REP2,M,S
2024-10-12,REP2,N,S
2024-10-12,REP2,P,S
2024-10-12,REP3,M,S
2024-10-12,REP3,N,S
2024-10-12,REP3,P,S
2024-10-12,REP5,M,S
2024-10-12,REP5,N,S
2024-10-12,REP5,P,S
2024-10-12,RIA,G,S
2024-10-12,RIA2,G,S
2024-10-13,ADT,G,d
2024-10-13,MED,G,S
2024-10-13,MEDG,N,S
2024-10-13,REP0,G,S
2024-10-13,REP0,M,S
2024-10-13,REP0,N,S
2024-10-13,REP0,P,S
2024-10-13,REP2,M,S
2024-10-13,REP2,N,S
2024-10-13,REP2,P,S
2024-10-13,REP3,M,S
2024-10-13,REP3,N,S
2024-10-13,REP3,P,S
2024-10-13,REP5,M,S
2024-10-13,REP5,N,S
2024-10-13,REP5,P,S
2024-10-13,RIA,G,S
2024-10-13,RIA2,G,S
2024-10-14,ADT,G,p
2024-10-14,MED,G,S
2024-10-14,MEDG,N,S
2024-10-14,REP0,G,S
2024-10-14,REP0,M,S
2024-10-14,REP0,N,S
2024-10-14,REP0,P,S
2024-10-14,REP2,M,S
2024-10-14,REP2,N,S
2024-10-14,REP2,P,S
2024-10-14,REP3,M,S
2024-10-14,REP3,N,S
2024-10-14,REP3,P,S
2024-10-14,REP5,M,S
2024-10-14,REP5,N,S
2024-10-14,REP5,P,S
2024-10-14,RIA,G,S
2024-10-14,RIA2,G,S
2024-10-15,ADT,G,p
2024-10-15,MED,G,S
2024-10-15,MEDG,N,S
2024-10-15,REP0,G,S
2024-10-15,REP0,M,S
2024-10-15,REP0,N,S
2024-10-15,REP0,P,S
2024-10-15,REP2,M,S
2024-10-15,REP2,N,S
2024-10-15,REP2,P,S
2024-10-15,REP3,M,S
2024-10-15,REP3,N,S
2024-10-15,REP3,P,S
2024-10-15,REP5,M,S
2024-10-15,REP5,N,S
2024-10-15,REP5,P,S
2024-10-15,RIA,G,S
2024-10-15,RIA2,G,S
2024-10-16,ADT,G,p
2024-10-16,MED,G,S
2024-10-16,MEDG,N,S
2024-10-16,REP0,G,S
2024-10-16,REP0,M,S
2024-10-16,REP0,N,S
2024-10-16,REP0,P,S
2024-10-16,REP2,M,S
2024-10-16,REP2,N,S
2024-10-16,REP2,P,S
2024-10-16,REP3,M,S
2024-10-16,REP3,N,S
2024-10-16,REP3,P,S
2024-10-16,REP5,M,S
2024-10-16,REP5,N,S
2024-10-16,REP5,P,S
2024-10-16,RIA,G,S
2024-10-16,RIA2,G,S
2024-10-17,ADT,G,p
2024-10-17,MED,G,S
2024-10-17,MEDG,N,S
2024-10-17,REP0,G,S
2024-10-17,REP0,M,S
2024-10-17,REP0,N,S
2024-10-17,REP0,P,S
2024-10-17,REP2,M,S
2024-10-17,REP2,N,S
2024-10-17,REP2,P,S
2024-10-17,REP3,M,S
2024-10-17,REP3,N,S
2024-10-17,REP3,P,S
2024-10-17,REP5,M,S
2024-10-17,REP5,N,S
2024-10-17,REP5,P,S
2024-10-17,RIA,G,S
2024-10-17,RIA2,G,S
2024-10-18,ADT,G,p
2024-10-18,MED,G,S
2024-10-18,MEDG,N,S
2024-10-18,REP0,G,S
2024-10-18,REP0,M,S
2024-10-18,REP0,N,S
2024-10-18,REP0,P,S
2024-10-18,REP2,M,S
2024-10-18,REP2,N,S
2024-10-18,REP2,P,S
2024-10-18,REP3,M,S
2024-10-18,REP3,N,S
2024-10-18,REP3,P,S
2024-10-18,REP5,M,S
2024-10-18,REP5,N,S
2024-10-18,REP5,P,S
2024-10-18,RIA,G,S
2024-10-18,RIA2,G,S
2024-10-19,ADT,G,s
2024-10-19,MED,G,S
2024-10-19,MEDG,N,S
2024-10-19,REP0,G,S
2024-10-19,REP0,M,S
2024-10-19,REP0,N,S
2024-10-19,REP0,P,S
2024-10-19,REP2,M,S
2024-10-19,REP2,N,S
2024-10-19,REP2,P,S
2024-10-19,REP3,M,S
2024-10-19,REP3,N,S
2024-10-19,REP3,P,S
2024-10-19,REP5,M,S
2024-10-19,REP5,N,S
2024-10-19,REP5,P,S
2024-10-19,RIA,G,S
2024-10-19,RIA2,G,S
2024-10-20,ADT,G,d
2024-10-20,MED,G,S
2024-10-20,MEDG,N,S
2024-10-20,REP0,G,S
2024-10-20,REP0,M,S
2024-10-20,REP0,N,S
2024-10-20,REP0,P,S
2024-10-20,REP2,M,S
2024-10-20,REP2,N,S
2024-10-20,REP2,P,S
2024-10-20,REP3,M,S
2024-10-20,REP3,N,S
2024-10-20,REP3,P,S
2024-10-20,REP5,M,S
2024-10-20,REP5,N,S
