data,reparto_id,shift_code,coverage_code
2024-09-01,ADT,G,d
2024-09-01,MED,G,S
2024-09-01,MEDG,N,S
2024-09-01,REP0,G,S
2024-09-01,REP0,M,S
2024-09-01,REP0,N,S
2024-09-01,REP0,P,S
2024-09-01,REP2,M,S
2024-09-01,REP2,N,S
2024-09-01,REP2,P,S
2024-09-01,REP3,M,S
2024-09-01,REP3,N,S
2024-09-01,REP3,P,S
2024-09-01,REP5,M,S
2024-09-01,REP5,N,S
2024-09-01,REP5,P,S
2024-09-01,RIA,G,S
2024-09-01,RIA2,G,S
2024-09-02,ADT,G,p
2024-09-02,MED,G,S
2024-09-02,MEDG,N,S
2024-09-02,REP0,G,S
2024-09-02,REP0,M,S
2024-09-02,REP0,N,S
2024-09-02,REP0,P,S
2024-09-02,REP2,M,S
2024-09-02,REP2,N,S
2024-09-02,REP2,P,S
2024-09-02,REP3,M,S
2024-09-02,REP3,N,S
2024-09-02,REP3,P,S
2024-09-02,REP5,M,S
2024-09-02,REP5,N,S
2024-09-02,REP5,P,S
2024-09-02,RIA,G,S
2024-09-02,RIA2,G,S
2024-09-03,ADT,G,p
2024-09-03,MED,G,S
2024-09-03,MEDG,N,S
2024-09-03,REP0,G,S
2024-09-03,REP0,M,S
2024-09-03,REP0,N,S
2024-09-03,REP0,P,S
2024-09-03,REP2,M,S
2024-09-03,REP2,N,S
2024-09-03,REP2,P,S
2024-09-03,REP3,M,S
2024-09-03,REP3,N,S
2024-09-03,REP3,P,S
2024-09-03,REP5,M,S
2024-09-03,REP5,N,S
2024-09-03,REP5,P,S
2024-09-03,RIA,G,S
2024-09-03,RIA2,G,S
2024-09-04,ADT,G,p
2024-09-04,MED,G,S
2024-09-04,MEDG,N,S
2024-09-04,REP0,G,S
2024-09-04,REP0,M,S
2024-09-04,REP0,N,S
2024-09-04,REP0,P,S
2024-09-04,REP2,M,S
2024-09-04,REP2,N,S
2024-09-04,REP2,P,S
2024-09-04,REP3,M,S
2024-09-04,REP3,N,S
2024-09-04,REP3,P,S
2024-09-04,REP5,M,S
2024-09-04,REP5,N,S
2024-09-04,REP5,P,S
2024-09-04,RIA,G,S
2024-09-04,RIA2,G,S
2024-09-05,ADT,G,p
2024-09-05,MED,G,S
2024-09-05,MEDG,N,S
2024-09-05,REP0,G,S
2024-09-05,REP0,M,S
2024-09-05,REP0,N,S
2024-09-05,REP0,P,S
2024-09-05,REP2,M,S
2024-09-05,REP2,N,S
2024-09-05,REP2,P,S
2024-09-05,REP3,M,S
2024-09-05,REP3,N,S
2024-09-05,REP3,P,S
2024-09-05,REP5,M,S
2024-09-05,REP5,N,S
2024-09-05,REP5,P,S
2024-09-05,RIA,G,S
2024-09-05,RIA2,G,S
2024-09-06,ADT,G,p
2024-09-06,MED,G,S
2024-09-06,MEDG,N,S
2024-09-06,REP0,G,S
2024-09-06,REP0,M,S
2024-09-06,REP0,N,S
2024-09-06,REP0,P,S
2024-09-06,REP2,M,S
2024-09-06,REP2,N,S
