shift_id,nome,start,end,break_min,duration_min,crosses_midnight
M,mattino,07:00,14:30,30,420,0
P,pomeriggio,14:00,21:30,30,420,0
R,riposo,,,0,0,0
F,ferie,,,0,0,0
