shift_id,nome,start,end,break_min,duration_min,crosses_midnight
F,Ferie,,,0,0,0
G,Giorno,08:30,17:00,0,510,0
M,Mattino,07:00,14:30,0,450,0
N,Notte,21:00,07:30,0,630,1
P,Pomeriggio,14:00,21:30,0,450,0
